file_name,transcript
1993-147149-0000,how infinite the wealth of love and hope garnered in these same tiny treasure houses and oh
1993-147149-0001,what bankrupts in the world we feel when death like some remorseless creditor seizes on all we fondly thought our own the twins
1993-147149-0002,the ghoul like fever was not to be braved with impunity and baulked of its prey
1993-147149-0003,the board not so formidable as she had imagined had inquired into her case and instead of sending her to stoke claypole her husband's buckinghamshire parish as she had dreaded had agreed to pay her rent
1993-147149-0004,margaret met jem wilson several days after his brothers were seriously ill and heard from him the state of things at his home
1993-147149-0005,she stopped with her hand on the latch of the wilsons door to still her beating heart and listened to the hushed quiet within
1993-147149-0006,she opened the door softly there sat missus wilson in the old rocking chair with one sick death like boy lying on her knee crying without let or pause but softly gently as fearing to disturb the troubled gasping child while behind her old alice let her fast dropping tears fall down on the dead body of the other twin which she was laying out on a board placed on a sort of sofa settee in a corner of the room
1993-147149-0007,over the child which yet breathed the father bent watching anxiously for some ground of hope where hope there was none
1993-147149-0008,is there any chance for the other one think you
1993-147149-0009,but earnest as the father was in watching the yet living he had eyes and ears for all that concerned the dead and sprang gently up and took his dead son on his hard couch in his arms with tender strength and carried him upstairs as if afraid of wakening him
1993-147149-0010,wishing him said mary in a tone of inquiry
1993-147149-0011,then the mother lifted up her voice and wept
1993-147149-0012,her cries brought her husband down to try with his aching heart to comfort hers
1993-147149-0013,mary and alice drew near the fire and stood in quiet sorrow for some time
1993-147149-0014,then alice broke the silence by saying
1993-147149-0015,afore christmas time i was as full as full could be of going home for good and all yo han heard how i've wished it this terrible long time
1993-147149-0016,but he stayed long there and at last his sturdy frame shook with his strong agony
1993-147149-0017,oh jem don't give way so i cannot bear to see you
1993-147149-0018,he did not speak as though fearing to destroy by sound or motion the happiness of that moment when her soft hand's touch thrilled through his frame and her silvery voice was whispering tenderness in his ear
1993-147149-0019,don't jem please don't whispered she again believing that his silence was only another form of grief
1993-147149-0020,mary i almost loathe myself when i feel i would not give up this minute when my brothers lie dead and father and mother are in such trouble for all my life that's past and gone and mary as she tried to release her hand you know what makes me feel so blessed
1993-147149-0021,he remained up stairs until after the early dawn showed mary that she need have no fear of going home through the deserted and quiet streets to try and get a little sleep before work hour
1993-147149-0022,so leaving kind messages to george and jane wilson and hesitating whether she might dare to send a few kind words to jem and deciding that she had better not she stepped out into the bright morning light so fresh a contrast to the darkened room where death had been
1993-147149-0023,her thoughts ran on jem's manner and words not but what she had known the tale they told for many a day but still she wished he had not put it so plainly
1993-147149-0024,i cannot think what possesses me that i must always be wanting to comfort him when he's downcast and that i must go meddling wi him to night when sure enough it was his aunt's place to speak to him
1993-147149-0025,i think i cannot go right for i either check myself till i'm downright cross to him or else i speak just natural and that's too kind and tender by half
1993-147149-0026,but will he thank me for it
1993-147149-0027,there was something of keen practical shrewdness about her which contrasted very bewitchingly with the simple foolish unworldly ideas she had picked up from the romances which miss simmonds young ladies were in the habit of recommending to each other yes
1993-147149-0028,the old leaven infused years ago by her aunt esther fermented in her little bosom and perhaps all the more for her father's aversion to the rich and the gentle
1993-147149-0029,it was a comfort to her when scolded by miss simmonds to think of the day when she would drive up to the door in her own carriage to order her gowns from the hasty tempered yet kind dressmaker
1993-147149-0030,but the best of her plans the holiest that which in some measure redeemed the vanity of the rest were those relating to her father her dear father now oppressed with care and always a disheartened gloomy person
1993-147964-0000,they sat about the house most of the day as if it were sunday greasing their boots mending their suspenders plaiting whiplashes
1993-147964-0001,anyway he would never allow one of his horses to be put to such a strain
1993-147964-0002,i had wanted to get some picture books for yulka and antonia even yulka was able to read a little now
1993-147964-0003,she cut squares of cotton cloth and we sewed them together into a book
1993-147964-0004,on the white pages i grouped sunday school cards and advertising cards which i had brought from my old country
1993-147964-0005,when he mounted his horse at the door i saw that he had a hatchet slung to his belt and he gave grandmother a meaning look which told me he was planning a surprise for me
1993-147964-0006,i put on my cap and ran out to meet jake
1993-147964-0007,he used to help my father cut christmas trees for me in virginia and he had not forgotten how much i liked them
1993-147964-0008,by the time we had placed the cold fresh smelling little tree in a corner of the sitting room it was already christmas eve
1993-147964-0009,from under the lining he now produced a collection of brilliantly colored paper figures several inches high and stiff enough to stand alone
1993-147964-0010,i can see them now exactly as they looked working about the table in the lamplight jake with his heavy features so rudely moulded that his face seemed somehow unfinished otto with his half ear and the savage scar that made his upper lip curl so ferociously under his twisted mustache
1993-147965-0000,grandfather came down wearing a white shirt and his sunday coat
1993-147965-0001,morning prayers were longer than usual
1993-147965-0002,he gave thanks for our food and comfort and prayed for the poor and destitute in great cities where the struggle for life was harder than it was here with us
1993-147965-0003,because he talked so little his words had a peculiar force they were not worn dull from constant use
1993-147965-0004,all afternoon he sat in the dining room
1993-147965-0005,at about four o'clock a visitor appeared mister shimerda wearing his rabbit skin cap and collar and new mittens his wife had knitted
1993-147965-0006,he sat still and passive his head resting against the back of the wooden rocking chair his hands relaxed upon the arms
1993-147965-0007,his face had a look of weariness and pleasure like that of sick people when they feel relief from pain
1993-147965-0008,he made the sign of the cross over me put on his cap and went off in the dark
1993-147966-0000,the week following christmas brought in a thaw and by new year's day all the world about us was a broth of gray slush and the guttered slope between the windmill and the barn was running black water
1993-147966-0001,it was the first time missus shimerda had been to our house and she ran about examining our carpets and curtains and furniture all the while commenting upon them to her daughter in an envious complaining tone
1993-147966-0002,your mama i said angrily wants other people's things
1993-147966-0003,for ambrosch my mama come here
